0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,2,5,6,4,2,6,7,5,7,6,7,7,4,0,1,0,0.0,0.0,2670151799.853898,55539961.06398831,0.0054700227466044,36676675.840294495,12698248595.70572,104012174.5070216,0.0117843764314952,s4842_p19,0.5339755786015121,0.46417583301099324,False,False
1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,3,5,5,6,4,6,4,4,7,7,10,4,4,3,2,0,0.0,0.0,2944839751.738556,0.0,0.0,187300709.3375383,12800340935.269293,1989289.082393088,0.000213339472324,s4842_p20,0.0,0.0,False,False
0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,3,4,3,2,2,1,6,7,4,3,3,2,4,0,5,3,0.0,0.0,1100146828.2020063,139888112.4839789,0.0140472632023679,426536614.86947095,3848619474.22344,217365505.20510957,0.0214471504538215,s4842_p22,0.6435616927901151,0.6549710756500488,False,False
0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,3,6,1,7,0,1,7,2,5,2,5,2,0,0,4,1,313687120.53489166,0.0586380042875217,402118089.3228299,35609455.69702821,0.002953792381329,212577420.5308448,6139055660.622124,866749977.5731413,0.10769683551675,s4842_p23,0.4029957718717613,0.5718997812082546,False,False
1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,2,6,9,1,3,1,5,2,0,7,6,6,1,4,4,0.0,0.0,255765802.7164687,58445164.49154896,0.0066209994816735,529235144.2680841,13630267797.936544,183298132.6121585,0.0221422587822139,s4842_p24,0.31885302735305765,0.2990209601827939,False,False
1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,3,1,5,4,3,7,6,3,4,3,3,7,6,1,5,0,18888470.6056612,0.0035776801718356,454372005.3847718,111997804.95531872,0.0114430763101964,291894073.2739918,8445886112.128036,153490672.88651264,0.0174164492098238,s4842_p27,0.8527311340784474,0.862446547001067,False,False
1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,9,4,5,4,10,2,4,4,6,6,7,5,3,1,0,25455971.796275947,0.0154501305823649,1181859290.1747098,9537721.535354,0.0023265425264897,151711207.5920318,18321093205.84438,46603654.08848516,0.0215523979656733,s4842_p28,0.7508787457993813,0.8248118440076908,False,False
0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,2,5,4,5,4,2,1,10,6,1,9,1,5,0,2,0,0.0,0.0,2766028923.2122173,56274136.24703203,0.0065518717234357,58176627.77592012,7523738201.130691,61577197.36327127,0.0072684819650752,s4842_p29,0.9138794660472427,0.9014085410017131,False,False
1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,2,4,0,5,3,3,5,3,7,1,6,6,1,8,4,2,115345907.07351965,0.0276121390905954,788496952.2835221,0.0,0.0,1722073606.9031725,5802406705.32578,150330040.36808884,0.0322623070489658,s4842_p31,0.7672844814721714,0.8558637498765153,False,False
1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,4,0,7,7,2,5,4,5,2,5,10,4,5,4,2,0,0.0,0.0,752824027.8901682,35106261.96808743,0.0029259644233909,254677545.10031864,9111623810.76341,82276991.48803288,0.0077832908021112,s4842_p34,0.4266838314475026,0.3759289608705406,False,False
1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,3,3,4,2,0,7,7,6,1,3,6,1,3,3,6,1,0.0,0.0,526826377.4232671,0.0,0.0,800611010.4031894,6659626248.371902,278043579.85295707,0.0271784005017538,s4842_p35,0.0,0.0,False,False
0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,8,5,6,5,6,7,4,3,7,0,3,5,5,1,2,1421716.233947472,0.002322063805487,1343339965.208622,0.0,0.0,460116314.2354115,19171079056.503757,2659911.9477188527,0.0028740332210567,s4842_p36,0.5344974803270234,0.8079460559030154,False,False
1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,7,2,4,1,2,6,4,6,4,4,4,4,3,3,1,0.0,0.0,1098353121.161658,0.0,0.0,342131245.7777052,5603274474.574246,86978637.8392991,0.0254244425884907,s4842_p37,0.0,0.0,False,False
1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,2,6,5,4,7,7,0,7,7,1,4,8,7,6,1,0,0.0,0.0,1754413494.8589466,0.0,0.0,428683135.2518352,12399902982.269688,0.0,0.0,s4842_p38,,,False,False
1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,3,2,6,4,3,1,6,5,3,2,2,4,6,1,5,1,0.0,0.0,478895492.6361647,188465725.1883942,0.0194939730269942,392392393.9165596,4928129276.867237,210908362.8110736,0.0217177213693655,s4842_p39,0.893590574960828,0.8976067376245067,False,False
1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,3,1,1,0,2,1,0,3,1,2,6,3,7,0,2,1,11306502.412744606,0.0020766044331218,201602495.6225261,511266091.9637394,0.0464183868696744,109499731.57958443,1953544980.8986268,661818136.3875334,0.061263217569388,s4842_p40,0.7896015017492464,0.7915841385227566,False,False
1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,0,5,5,1,3,5,3,2,0,5,7,6,10,5,7,4898622.214939761,0.0009619419608609,140542455.59738207,0.0,0.0,8983805271.658974,13375808356.774515,100081011.83989888,0.0128176450947738,s4842_p41,0.04894656963277071,0.07504825993763216,False,False
1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,5,5,5,4,6,4,5,7,6,7,4,5,0,1,0,0.0,0.0,2670151799.853898,91378521.55686124,0.0099860030762043,36676675.840294495,10297727667.140549,96681582.67310049,0.0107026133178439,s4842_p44,0.9451492107429608,0.9330434333785718,False,False
1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,4,1,1,4,3,2,6,8,6,5,1,7,2,0,5,0,0.0,0.0,2999932921.02178,80296996.03904985,0.008066840953192,215749005.5988146,5868606053.742392,97006760.05858052,0.0098188932686409,s4842_p45,0.8277463961332183,0.8215631571182753,False,False
1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,7,4,4,4,3,5,4,4,7,5,4,5,3,1,0,42436217.04877824,0.0255253316348966,1613998444.577466,64784864.98888029,0.0162581130170355,151711207.5920318,7888593608.102575,118892961.69361864,0.0455996009179281,s4842_p46,0.901828674383283,0.9163116301639467,False,False
1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,3,5,4,4,4,7,2,5,8,1,4,1,2,0,4,1,0.0,0.0,1586777253.950106,88609958.22821988,0.0088574389502166,212577420.5308448,6947969838.841708,93941379.49039511,0.0094368999528064,s4842_p52,0.9432473603102631,0.9385962545446425,False,False
1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,2,0,3,4,3,4,4,4,0,6,7,4,6,1,5,0,12056626.4936157,0.0022871342999255,551511590.9801772,115278409.47517686,0.01477088838486,291894073.2739918,4274821739.821645,138573386.01809025,0.0185486579406526,s4842_p53,0.9188996504146145,0.9196364901096097,False,False
1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,3,9,4,5,5,4,0,4,3,6,1,1,5,7,0,0,16267848.342325931,0.0032887041011792,978029473.9168656,0.0,0.0,496014784.905653,10016488198.767023,18305386.876869395,0.0035125454470328,s4842_p56,0.8886918616771717,0.9362737509794532,False,False
1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,0,3,7,1,2,4,5,2,4,10,4,4,3,2,0,0.0,0.0,586117902.0343597,5790369.71546554,0.0005977576802228,187300709.3375383,5067537522.408947,92769007.55476464,0.0111912754254272,s4842_p57,0.062417070830980824,0.053412828967166814,False,False
0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,2,6,0,7,3,7,4,5,5,0,3,10,6,0,4,2,0.0,0.0,508556882.2997122,85065856.80672684,0.0105682475511754,254677545.10031864,10275774542.386349,100699870.27695042,0.0126446523659285,s4842_p58,0.8447464388263258,0.835787908226876,False,False
1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,2,6,6,6,0,5,1,7,1,1,4,8,7,6,2,0,0.0,0.0,546073553.3670186,0.0,0.0,487595482.5113013,11656820511.483326,174363965.9950228,0.0214020215541149,s4842_p59,0.0,0.0,False,False
1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,5,0,5,2,0,0,4,7,2,7,5,5,0,1,1,0.0,0.0,1052836799.0887936,0.0,0.0,80062858.44864091,3904223825.159114,130380319.51112542,0.0140656407915182,s4842_p61,0.0,0.0,False,False
0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,2,6,9,3,5,7,3,5,1,0,8,4,9,6,0,3,26982346.422715288,0.006368527217592,220055245.752236,0.0,0.0,577533194.6864529,18933696506.50837,32384668.04973057,0.0071121434998235,s4842_p62,0.8331827388590377,0.8954441396957254,False,False
0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,4,2,4,4,5,1,7,5,7,6,7,4,5,1,2,1,10160276.503053028,0.0020869596612469,2670151799.853898,22429308.90814797,0.0022485646354858,166207917.18189317,8275183313.756679,34632484.99598339,0.004560532517423,s4842_p63,0.9410120415840987,0.9506618536693506,False,False
1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,2,7,2,4,1,7,7,4,7,0,4,8,7,3,3,0,0.0,0.0,772199086.4252126,0.0,0.0,241632925.13513744,11093087160.086542,59685852.91708862,0.0075059143040866,s4842_p64,0.0,0.0,False,False
1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,3,7,5,4,7,7,5,7,7,1,4,8,1,5,0,3,0.0,0.0,1754413494.8589466,0.0,0.0,426536614.86947095,15841688126.508204,0.0,0.0,s4842_p65,,,False,False
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,3,4,8,1,4,6,8,6,2,7,4,7,2,5,3,2,0.0,0.0,1663268595.6027958,0.0,0.0,649606183.4359621,16236373238.986498,5359781.40811126,0.0005856338118679,s4842_p66,0.0,0.0,False,False
1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,2,1,1,4,4,5,1,3,1,1,7,4,6,4,7,7,49801545.73113856,0.0108747499182387,171414439.354087,0.0,0.0,4260291892.3586655,7648711362.885957,55132966.99331381,0.0115990761714759,s4842_p67,0.9032988508885833,0.9375531083226748,False,False
0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,4,6,4,5,4,3,6,10,1,1,10,2,5,3,0,3,0.0,0.0,1447993064.9395046,1639839.1134996486,0.0001312027920577,241632925.13513744,9671908278.143698,3629128.195892736,0.0003445422643818,s4842_p68,0.45185483261669723,0.38080318620158987,False,False
1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,2,5,5,5,7,0,4,7,0,5,2,1,1,7,2,2,0.0,0.0,839362010.2240314,0.0,0.0,948464659.4735034,7315570006.17494,0.0,0.0,s4842_p70,,,False,False
0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,2,6,4,2,4,1,0,10,6,6,1,2,5,0,3,0,0.0,0.0,5718288124.126816,39583111.47798269,0.00491003711416,90999229.1305994,8274694312.976512,41572400.56037578,0.0051767114545651,s4842_p71,0.9521488041205599,0.9484857630668343,False,False
1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2,1,4,1,5,6,0,1,0,4,1,6,0,0,5,1073468381.7585108,1.4855042858201954,28798397.130608942,0.0,0.0,215749005.5988146,3562026505.91884,1161735942.138453,1.5597134650247,s4842_p72,0.9240209782806026,0.9524212742477483,False,False
0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,2,3,3,3,7,1,5,5,0,1,5,4,1,3,4,0.0,0.0,508556882.2997122,141708163.7726393,0.115621131469728,419950187.10748845,3999412775.151032,164312561.098172,0.1355852375346588,s4842_p73,0.8624304972519585,0.8527560490512288,False,False
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,2,5,5,6,4,9,4,4,6,7,9,7,4,0,2,0,0.0,0.0,2388161708.79464,56739009.0051425,0.0066179215278513,58176627.77592012,16915419036.889303,58728298.08753559,0.0068845958682564,s4842_p74,0.966127247899675,0.9612650698010196,False,False
1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,5,3,4,4,7,2,3,4,5,4,6,2,3,5,1,14864035.53357312,0.0239352762379095,733116512.0283871,39203652.56855142,0.0341765062153788,588766115.1733601,6389355494.2851305,59356569.14539577,0.0628634640255593,s4842_p75,0.9108964497204016,0.9244126672634674,False,False
1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,4,3,6,4,1,7,4,4,5,5,5,4,0,2,3,774801.9394900398,0.0012634403371697,889474205.2690604,121270760.73241572,0.0957673821141598,185515400.32607943,7074360711.642238,127306083.56924096,0.1017310639462825,s4842_p77,0.9586781656473311,0.9537973819143887,False,False
1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,3,5,2,6,3,1,2,2,3,2,5,2,7,0,3,0,346374026.6775305,0.0649933282888849,240881563.1297559,98737100.30259947,0.0079754042987518,90999229.1305994,4508256182.397721,495233635.3571477,0.0779609190429984,s4842_p79,0.898790177406123,0.9359655258475298,False,False
0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,3,1,7,0,0,5,3,1,2,4,0,4,5,0,6,0,423334568.28490376,0.0771439183059283,249808216.23398763,0.0,0.0,328184814.6092675,2887486846.5508604,597698534.2799265,0.0942655355492203,s4842_p80,0.7082743958790418,0.8183682175724549,False,False
1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,2,7,9,4,0,5,1,4,1,3,4,4,5,3,3,0,28819272.063890334,0.0057215595794066,314320630.7065251,0.0,0.0,241632925.13513744,14452439237.729095,313906421.5950503,0.0404458925004281,s4842_p81,0.09180848202292642,0.14146206760911606,False,False
1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,6,3,7,4,9,4,5,0,1,7,8,6,3,3,6,3081440.518562916,0.0014502469466174,220055245.752236,423402.79455414455,0.0001318652946747,1140897157.0475736,17487522258.187305,8836264.575292308,0.0033204952490615,s4842_p82,0.39664309315920626,0.47646875620113177,False,False
0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,3,1,3,6,2,6,6,0,3,2,1,1,5,3,0.0,0.0,858736944.466568,103873494.73612392,0.0316536134578171,541242453.351177,3505704104.053344,138857628.0306931,0.0428140165579059,s4842_p83,0.748057533527533,0.7393282855161611,False,False
1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,3,6,1,5,2,0,0,1,8,5,6,7,5,0,1,0,262900263.4564608,0.0490652212995622,1325760516.4029987,0.0,0.0,36676675.840294495,5307647945.01333,433630486.7410644,0.0637852473147919,s4842_p85,0.6062771679922209,0.769225226288084,False,False
1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,4,3,4,5,3,5,6,1,1,1,7,1,3,9,0,6,164746887.23715073,0.0287157322585253,103163796.38124534,0.0,0.0,2603863640.73455,8345256492.05456,175985237.28644842,0.0299082404632189,s4842_p86,0.9361403818718884,0.9601277712689201,False,False
0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,3,5,4,5,4,2,1,10,7,1,10,2,5,3,2,0,0.0,0.0,3448193650.766571,0.0,0.0,187300709.3375383,8901374728.12755,5303061.116239234,0.0005732881933116,s4842_p89,0.0,0.0,False,False
0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,2,6,5,8,1,4,0,5,2,0,4,5,6,0,3,4,0.0,0.0,255765802.7164687,10155334.558789872,0.0010216898717425,324001732.4827762,13839549045.59852,166471200.00062466,0.0204113701662744,s4842_p91,0.061003552318669926,0.050054938175127156,False,False
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,5,2,6,1,5,5,2,0,1,0,9,3,2,0,5,158493292.7035328,0.0238577120821715,84513741.32644606,0.0,0.0,360082630.87449336,5634506858.894719,246760853.08347505,0.032762813586712,s4842_p92,0.642295123894377,0.7281948486819749,False,False
1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,2,0,2,4,0,5,1,0,1,0,4,5,6,0,0,2,1565071421.7897806,0.3193912758672939,28798397.130608942,0.0,0.0,58176627.77592012,2037399441.92724,1739435387.7848034,0.3407932974214088,s4842_p94,0.8997582967326668,0.9371994058684487,False,False
1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,2,5,4,4,2,3,6,1,6,6,1,1,5,0,3,0,547379613.0282472,0.1277845664351616,1044629767.6559484,22304646.97313344,0.0022523192401044,90999229.1305994,5310189071.629386,640813717.4479767,0.1391074924459025,s4842_p100,0.8890013501429601,0.9347942615372499,False,False
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,7,3,3,2,7,2,1,1,4,3,4,4,4,7,68537956.35776357,0.0142851623989136,132184573.70860092,0.0,0.0,2318280615.76534,7247245051.413737,82083889.03635193,0.0160794172344032,s4842_p101,0.8349745262119663,0.8884129437445875,False,False
0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,2,3,1,3,2,2,9,5,3,3,3,1,2,5,0,0.0,0.0,2155767024.08264,9130145.175476804,0.0077952295322744,360082630.87449336,3642307028.040498,25839909.19500748,0.0223956654943482,s4842_p102,0.35333503328412763,0.3480686713347105,False,False
1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,2,2,6,9,0,2,1,5,2,0,9,6,6,1,5,4,0.0,0.0,255765802.7164687,0.0,0.0,677589958.7619503,14669045685.849173,250930300.646942,0.0288433227327122,s4842_p103,0.0,0.0,False,False
1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,5,0,4,1,5,0,2,7,3,5,1,5,0,2,2,5206343.306531934,0.0080971893782699,828708971.1217399,41407488.139833264,0.0276676373576497,139585453.35466468,2925336065.1282616,134881391.82630748,0.1099740059404241,s4842_p104,0.34559126959775016,0.32521163915129525,False,False
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,2,7,0,3,2,1,2,2,3,4,7,1,2,3,3,162118923.7044708,0.2456208889873052,237972189.6257261,0.0,0.0,396303009.5967358,3243830260.2720222,187365999.2866381,0.2674503396010161,s4842_p106,0.8652526302622091,0.9183794245829854,False,False
1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,3,1,3,3,3,2,4,5,1,0,6,3,3,0,0,1,0.0,0.0,220055245.752236,526262743.4435158,0.0450695684247566,36676675.840294495,2152507944.26104,551509819.025683,0.0476891024984019,s4842_p107,0.9542218928635402,0.9450705939845884,False,False
1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,3,5,5,5,3,3,4,10,8,6,9,3,5,3,1,0,0.0,0.0,8562247633.230477,0.0,0.0,151711207.5920318,14970795954.783854,13545932.67858836,0.0014354038683917,s4842_p108,0.0,0.0,False,False
0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,6,0,1,0,6,1,0,3,0,5,1,5,0,2,1,610031318.6600629,0.9301282544862176,67352034.08702596,33608430.41120494,0.0222507828473033,109499731.57958443,2170594121.4037776,812679871.0735723,1.089936195633166,s4842_p109,0.7919966668068229,0.8737933845570334,False,False
1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,4,7,4,4,3,2,4,2,1,0,7,1,3,0,0,6,222711295.9606329,0.0385926513370026,84513741.32644606,325752271.1132225,0.0281021426439757,328184814.6092675,5308641768.690163,573710642.6560227,0.0693143280546237,s4842_p113,0.9559933637185383,0.9622078991867157,False,False
0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,2,5,4,4,4,1,3,5,1,2,5,4,2,7,3,28165967.95441326,0.0462053921341905,431615943.8974439,47079834.9648049,0.0405851828848629,1165023168.3750107,4474462737.889958,80605584.32732943,0.0916708567846195,s4842_p117,0.9335060783587171,0.9467629960410177,False,False
1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,6,4,2,4,6,2,4,7,0,2,4,6,1,2,3,9449177.669270989,0.0156264256095501,772199086.4252126,54038595.06754004,0.0440420346106654,256129634.7249988,5479642563.36758,68819193.99898627,0.0644973019084636,s4842_p119,0.9225300246577463,0.9251311055600229,False,False
1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,6,4,7,4,1,5,4,0,1,7,4,6,3,3,6,25228267.320245173,0.0130044170505183,158308603.12830377,423402.79455414455,0.0001318652946747,1140897157.0475736,10965471912.90953,32058841.92628168,0.0151474507439014,s4842_p121,0.8001433792831488,0.8672272692804016,False,False
1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,3,3,4,1,3,1,6,4,2,7,10,4,4,3,2,2,0.0,0.0,1126448498.24247,0.0,0.0,322059128.73816526,5532547781.95572,17946984.698578697,0.0017379275571703,s4842_p122,0.0,0.0,False,False
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,5,0,2,0,1,1,1,3,0,2,6,6,1,2,1,2011442.209694265,0.003128304749882,108471584.05375126,0.0,0.0,166207917.18189317,1868653855.578532,272112651.9068216,0.2008017234275514,s4842_p123,0.007391946664732938,0.01557907320955182,False,False
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,4,6,5,5,7,1,0,4,1,1,4,0,7,0.0,0.0,435650411.4813284,0.0,0.0,1112030203.9165854,6354638814.647942,0.0,0.0,s4842_p124,,,False,False
1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,6,0,4,3,1,6,6,6,3,7,4,2,0,0,0,0.0,0.0,1364431632.6479375,303661551.3553924,0.0767958563515154,0.0,4811546435.063232,321608536.0539711,0.0820096390230263,s4842_p125,0.9441961804907849,0.936424757703823,False,False
1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,7,4,4,2,2,6,6,1,0,7,1,4,0,0,0,0.0,0.0,308512658.89318293,222095647.72518885,0.0521458926426834,0.0,5846620333.390473,301276385.0250701,0.0759063946716741,s4842_p127,0.7371823971756287,0.6869762800385331,False,False
