0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Industrialized Farmers Damages Ratio,Industrialized Farmers Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded,Industrialized Farmers Damages Ratio Exceeded,Industrialized Farmers Deaths Ratio Exceeded
1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,3,5,0,10,6,5,9,5,3,6,7,2,7,2,4,0,0.0,8995433314.582802,0.0,0.0,16037604369.75595,0.0,0.0,1189733074.3201292,0.0,0.0,1398568409.7989469,0.0,0.0,255146187.47580785,0.0,1759800000.0,0.0,27876485355.93364,0.0,s248_p63,,,,,False,False,False,False
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,3,0,10,6,9,10,2,1,2,3,6,7,5,6,10,0.0,6287568145.669079,0.0,0.0,48947537060.305954,0.0,3005007.9602400004,157704162.83680218,0.0008092690945519,0.0,1380832182.1538095,0.0,43351013.55787925,11521191973.238266,0.005713876426336,461900000.0,46356021.518119246,68294833524.20391,0.006523145520888,s632_p803,1.0693180554181951,1.1416322360108933,1.0693180554181951,1.1416322360108933,False,False,False,False
1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,7,5,6,1,2,5,4,2,6,1,6,10,4,5,0.0,2895512967.290173,0.0,0.0,1118393672.0158725,0.0,0.0,589975026.7148345,0.0,0.0,680291972.7589211,0.0,0.0,4683454761.802971,0.0,1729100000.0,0.0,9967628400.582771,0.0,s632_p208,,,,,False,False,False,False
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,1,9,2,9,7,1,7,0,10,1,6,3,0,0.0,1854691476.0653503,0.0,0.0,16990702442.02067,0.0,0.0,1748163022.9713264,0.0,4302492.390646334,934869408.6519386,0.0028097837271825,64199850.125423566,577533194.6864529,0.0734411554967659,199900000.0,68502342.5160699,22105959544.395737,0.0762509392239484,s632_p1112,0.9371920399709394,0.9631508312451053,0.9371920399709394,0.9631508312451053,False,False,False,False
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,5,6,6,7,4,9,5,4,7,1178408823.6872294,463023504.177681,0.5569331011175089,199464284.72740003,59410102.93073928,0.1371889182946473,1330410.490253921,2142497489.558922,0.0017421991692209,0.0,4076768590.0802975,0.0,0.0,2791619047.1343374,0.0,302400000.0,1379203518.9048834,9533318733.881975,0.6958642185813771,s541_p749,1178408823.6938994,0.5696323715168796,1178408823.6938994,0.5696323715168796,False,False,False,False
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,5,9,9,3,5,9,10,9,0,0,6,0,2,0,34231995.803740695,17303245594.327183,0.0166345692106236,0.0,6046062541.769768,0.0,0.0,24105897943.777008,0.0,2383371.8887596545,153243012.2666472,0.0010304574408366,159500661.73937935,58176627.77592012,0.1099434907597251,248500000.0,196116029.4318797,47666625719.91653,0.1276085174111854,s541_p1035,34231996.78901798,1.007348989508852,34231996.78901798,1.007348989508852,False,False,False,False
0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,6,1,5,0,2,5,1,5,2,9,3,0,6,9,10,34234627.31953249,2179370309.587892,0.0164262607258347,74234880.33251815,669681634.6611855,0.0508903372311825,605661758.9135647,331353128.9156451,0.7279361778812425,0.0,734657363.0383412,0.0,0.0,24033366064.20793,0.0,869900000.0,714131266.5656153,27948428500.410995,0.7952527758382598,s541_p301,34234635.478254594,14.3204418653858,34234635.478254594,14.3204418653858,False,False,False,False
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,4,1,0,5,3,0,5,0,4,3,7,7,1,3,602088065.0318928,368607645.3276616,0.0675282030844404,7548793.6706258,783174675.9713429,0.0012707094972921,1819096.1401008847,153347589.65466607,0.0005810102833294,0.0,908574765.6628702,0.0,0.0,963820846.7177628,0.0,851200000.0,611455954.8426194,3177525523.334304,0.069379922865062,s248_p719,602088065.2728711,0.5247611777080984,602088065.2728711,0.5247611777080984,False,False,False,False
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,9,0,3,2,7,4,1,8,6,7,0,2,2,594268324.6150492,19915611497.735016,0.5579514641522693,12197643.480988516,326952981.1526798,0.014151813629644,0.0,855442553.5036638,0.0,0.0,3490156813.1529007,0.0,35676064.23144413,139585453.35466468,0.0248839789011464,852900000.0,642142032.3274819,24727749298.89892,0.5969872566830596,s248_p543,594268325.3602613,1.1954171664694075,594268325.3602613,1.1954171664694075,False,False,False,False
0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,3,1,4,5,6,3,7,5,2,6,6,3,5,7,7,8,0.0,1341506693.6814375,0.0,0.0,5494105295.90465,0.0,0.0,999992880.619758,0.0,0.0,686050903.1504114,0.0,0.0,9936962992.777056,0.0,812000000.0,0.0,18458618766.133312,0.0,s632_p99,,,,,False,False,False,False
1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,7,0,2,2,7,10,9,4,2,7,7,1,3,0,2,0.0,1343911060.2114763,0.0,1285618.4328559143,16843277956.427372,0.0006730984378453,0.0,1607557627.8496048,0.0,0.0,1137218166.661279,0.0,0.0,187300709.3375383,0.0,1864000000.0,1285618.4328559143,21119265520.48727,0.0006730984378453,s982_p117,0.0,0.0,0.0,0.0,False,False,False,False
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,1,8,0,0,2,0,7,2,1,9,5,4,7,2,2676553611.278858,2812906999.5507627,1.310657362784391,43407997.265167736,99525397.17141616,0.0299216845236147,465730199.2631169,485621587.43911296,0.558583037163771,0.0,1205930326.9744592,0.0,0.0,1481283810.7914743,0.0,573600000.0,3185691807.8071427,6085268121.927226,1.8991620844717767,s541_p501,2676553622.007992,19.97882548423249,2676553622.007992,19.97882548423249,False,False,False,False
0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,6,1,0,7,2,2,8,4,4,2,4,1,3,1,593432721.081877,812894985.8685924,0.5569331011175089,7409662.264479276,1296330297.0,0.0102028749530458,0.0,1302485448.7329893,0.0,0.0,260909042.134066,0.0,0.0,216141417.546499,0.0,874300000.0,600842383.3463563,3888761191.737566,0.5671359760705548,s248_p184,593432721.081877,0.5569331011175089,593432721.081877,0.5569331011175089,False,False,False,False
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1,3,7,3,10,8,1,4,7,2,4,0,1,0,5,0.0,2271742399.275893,0.0,0.0,18970662578.1831,0.0,0.0,942260967.1717868,0.0,484273.0553583,103067555.9581848,5.099723614972938e-05,621604839.3626741,291894073.2739918,0.0993191796780351,517400000.0,622089112.4180324,22579627573.86296,0.0993701769141848,s632_p373,0.9992215374844354,0.9994867953571848,0.9992215374844354,0.9994867953571848,False,False,False,False
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,2,6,3,6,5,2,10,1,9,3,0,1,0,3,3,0.0,1641042841.7444727,0.0,0.0,2381153409.6314163,0.0,0.0,6041889354.794316,0.0,298980.6193113442,53697351.31617999,7.353828048928889e-05,3037920.5472573773,241632925.13513744,0.0015062949707453,756700000.0,3336901.1665687216,10359415882.62152,0.0015798332512346,s982_p435,0.910401715727535,0.9534518719416616,0.910401715727535,0.9534518719416616,False,False,False,False
1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,6,2,0,7,0,2,10,7,9,5,4,0,1,0,1,0.0,925609149.3751574,0.0,0.0,1296330297.4554195,0.0,0.0,16035999163.645472,0.0,0.0,232965065.23565865,0.0,17006380.91615344,80062858.44864091,0.0183350065703912,1124500000.0,17006380.91615344,18570966534.16035,0.0183350065703912,s982_p510,1.0,1.0,1.0,1.0,False,False,False,False
0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,3,5,5,4,4,3,9,7,5,4,3,3,4,9,9,10,0.0,2808806050.482161,0.0,2551544.750832532,7873459520.836971,0.0002241359657834,1401641.0775458335,1604578703.794302,0.0002283545525108,0.0,255838098.32947424,0.0,0.0,40355167733.83376,0.0,704500000.0,3953185.828378365,52897850107.276665,0.0004524905182942,s541_p213,0.54933039175131,1.0188215519658133,0.54933039175131,1.0188215519658133,False,False,False,False
0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,7,8,3,2,1,5,9,1,5,3,4,10,9,3,5,0.0,8204247030.171901,0.0,0.0,857118959.7862899,0.0,0.0,1705994392.7101345,0.0,0.0,2970947339.0585737,0.0,0.0,3147932405.25355,0.0,606200000.0,0.0,16886240126.980448,0.0,s632_p22,,,,,False,False,False,False
1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,6,1,4,2,2,7,8,5,5,7,10,9,1,0,6,0.0,1665123859.0901046,0.0,33568666.36973791,2145505058.818318,0.0241951692175544,0.0,2458388749.0203667,0.0,0.0,13064924713.50573,0.0,66357615.47907019,424898508.1002616,0.0456111261911792,860900000.0,99926281.8488081,19758840888.53478,0.0698062954087336,s541_p801,0.6640656917413533,0.6533955988369597,0.6640656917413533,0.6533955988369597,False,False,False,False
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,5,0,4,3,6,0,5,0,1,1,1,1,4,0.0,5652450308.282335,0.0,2792820.358618665,576698800.4451249,0.00335728161646,0.0,649791806.9970012,0.0,5747831.3024465805,24162426.948826768,0.0038851423443807,553686647.1231078,277032418.14852864,0.5947351998791555,340700000.0,562227298.784173,7180135760.821816,0.6019776238399962,s632_p980,0.9848092547630922,0.9879689482232884,0.9848092547630922,0.9879689482232884,False,False,False,False
0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,5,5,0,10,9,5,8,4,1,2,0,4,1,2,5,0.0,1398086572.508341,0.0,0.0,25385662927.95824,0.0,0.0,1115414164.3322403,0.0,0.0,103067555.9581848,0.0,0.0,462631602.7601144,0.0,1374500000.0,0.0,28464862823.51712,0.0,s982_p392,,,,,False,False,False,False
1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,4,5,2,5,8,5,2,3,10,2,10,7,4,0,3,5,0.0,2008350537.699483,0.0,0.0,3931897535.468054,0.0,0.0,2298612115.342999,0.0,0.0,3194633587.1978664,0.0,6148465.447036485,448134893.1702531,0.0010073362774752,854700000.0,6148465.447036485,11881628668.878656,0.0010073362774752,s248_p57,1.0,1.0,1.0,1.0,False,False,False,False
1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,3,5,8,5,5,7,3,2,7,0,0,2,2,5,5,9,0.0,7863308565.317934,0.0,0.0,3880841525.9720345,0.0,2464761.2349955924,523214065.1310038,0.0008098933230041,0.0,48908938.72171186,0.0,0.0,6699627786.474635,0.0,1141600000.0,2464761.2349955924,19015900881.61732,0.0008098933230041,s248_p296,inf,inf,inf,inf,False,False,False,False
0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,6,1,6,6,0,2,5,7,2,3,0,1,1,454992085.32049984,3191164577.4798493,0.4270073827400327,1251921.138075305,2860018559.7975936,0.001776139782546,0.0,258800286.9340489,0.0,0.0,467231957.0053831,0.0,99701630.3514225,80062858.44864091,0.0812748934242143,619900000.0,555945636.8099977,6857278239.665516,0.5100584159467931,s248_p711,454992086.30809885,1.4056212576797438,454992086.30809885,1.4056212576797438,False,False,False,False
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,10,4,4,2,3,2,3,3,10,6,3,5,3,6,0.0,6101316872.022866,0.0,0.0,898423679.900038,0.0,0.0,294475377.6461745,0.0,0.0,2217803426.462409,0.0,0.0,1684912148.2011695,0.0,1176700000.0,0.0,11196931504.232658,0.0,s248_p903,,,,,False,False,False,False
1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,1,7,5,9,10,2,1,0,6,5,7,4,9,8,0.0,2767510950.3939567,0.0,0.0,41250323258.30542,0.0,0.0,84513741.32644606,0.0,0.0,1944344010.8549151,0.0,1204360.998357915,8946458361.382143,0.0016866330771854,704500000.0,1204360.998357915,54993150322.26288,0.0016866330771854,s248_p684,1.0,1.0,1.0,1.0,False,False,False,False
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2,0,0,2,1,1,0,3,0,7,7,6,5,1527056918.582243,539988708.0280682,0.7221440500471786,104491219.5808045,99525397.17141616,0.0706084057513173,1422566575.9116929,62865075.42438113,1.7242470707224888,0.0,433821492.4042102,0.0,0.0,3476018762.1695333,0.0,236500000.0,3054114714.0747404,4612219435.197609,2.516999526520985,s541_p742,1527056932.196464,25.14199962355049,1527056932.196464,25.14199962355049,False,False,False,False
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,6,2,0,7,1,10,0,7,0,0,0,0,5,3,5,0.0,925609149.3751574,0.0,0.0,14168835374.834131,0.0,14840811.772639737,342303785.05033195,0.0402270869507473,439584.3115423195,0.0,0.0001846538440515,0.0,1253793873.281711,0.0,716300000.0,15280396.084182056,16690542182.541332,0.0404117407947988,s248_p461,33.761013264029984,217.8513377686736,33.761013264029984,217.8513377686736,False,False,False,False
1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,2,6,0,2,0,7,10,4,2,6,1,2,5,4,5,5,0.0,925609149.3751574,0.0,0.0,11965472456.911057,0.0,0.0,817631873.5784471,0.0,122805.76872493397,194254515.57906187,1.1871318471998014e-05,80052409.450844,1541820747.8644545,0.0129991465613832,1640300000.0,80175215.21956894,15444788743.308176,0.0130110178798552,s632_p218,0.9984682826433504,0.9990875949459436,0.9984682826433504,0.9990875949459436,False,False,False,False
0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,3,2,0,0,3,5,4,6,6,1,2,3,3,3,1,5,3369493344.9665413,95107331.2378472,0.2376034899352311,0.0,1830051787.944084,0.0,0.0,1074961987.3252492,0.0,0.0,151827024.0591762,0.0,0.0,574180059.5525551,0.0,469400000.0,3369493344.9665413,3726128190.118912,0.2376034899352311,s248_p290,,,,,False,False,False,False
1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,9,4,9,0,7,1,1,7,7,1,7,7,0,1,0,0.0,25298034593.408703,0.0,2792820.358618665,1166301276.441819,0.00335728161646,18180056.83159852,1746234687.9199631,0.0405379963746466,763142.8699520361,1218756476.4739804,0.0005010645687698,865742437.793588,36676675.840294495,0.952292515827479,1078700000.0,887478457.8537573,29466003710.08476,0.9966888583873555,s632_p977,1.0168228695530006,1.038361781227918,1.0168228695530006,1.038361781227918,False,False,False,False
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,8,6,10,6,9,7,6,1,1,5,4,6,0,2,5,0.0,43035345101.96996,0.0,0.0,18903450248.13832,0.0,33741494.904130794,401859285.3241793,0.0454588198871285,0.0,928043695.9069564,0.0,44192595.41589592,360082630.87449336,0.0303645874372285,1138000000.0,77934090.32002673,63628780962.21391,0.075823407324357,s541_p302,1.7635101443259904,2.49709986941544,1.7635101443259904,2.49709986941544,False,False,False,False
0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,3,0,1,0,2,1,2,9,1,3,7,6,0,10,9,1,308024921.2215963,53972506.18695759,0.0341107789032591,0.0,347407584.98814714,0.0,0.0,1244580426.0442314,0.0,0.0,737424581.8042556,0.0,0.0,8538151315.061268,0.0,816000000.0,308024921.2215963,10921536414.08486,0.0341107789032591,s982_p346,,,,,False,False,False,False
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2,10,9,0,0,3,1,6,6,7,7,3,0.0,0.0,0.0,0.0,21746751685.78012,0.0,0.0,67352034.08702596,0.0,0.0,689064791.0591185,0.0,0.0,3059877559.913779,0.0,2100500000.0,0.0,25563046070.84005,0.0,s632_p1048,,,,,False,False,False,False
1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,2,9,9,4,6,1,6,1,1,1,0,7,4,7,10,0.0,18991728037.35101,0.0,0.0,1817359156.2164068,0.0,0.0,401859285.3241793,0.0,838183.8185873746,295807921.248816,0.0001940624768891,13751800.882413805,11657276704.714106,0.0053656173103787,999100000.0,14589984.701001177,33164031104.854515,0.0055596797872679,s632_p903,0.9425507404041448,0.9650946665429324,0.9425507404041448,0.9650946665429324,False,False,False,False
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4,7,1,6,9,3,1,4,4,0,6,0,6,4,3,0.0,2633413079.9495635,0.0,0.0,8817336728.986229,0.0,708953.3707860099,385437026.6814301,0.0019179638199182,906248.5860408316,153243012.2666472,0.0007727335622337,0.0,1202142157.32641,0.0,619900000.0,1615201.9568268417,13191572005.21028,0.002690697382152,s248_p74,0.782294595220552,2.482050623469807,0.782294595220552,2.482050623469807,False,False,False,False
0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,5,5,5,7,1,1,7,5,6,4,1,3,5,3,3,0.0,3660053299.890439,0.0,0.0,1394100420.8043292,0.0,0.0,2563265036.7055006,0.0,0.0,162702873.32445556,0.0,0.0,775459533.8848647,0.0,874300000.0,0.0,8555581164.609589,0.0,s248_p579,,,,,False,False,False,False
0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,10,8,3,1,3,1,0,5,3,2,0,5,2954404570.852069,53972506.18695759,1.673854392456808,0.0,14699490809.514812,0.0,0.0,164863156.93865746,0.0,0.0,178038331.04063177,0.0,0.0,360082630.87449336,0.0,554000000.0,2954404570.852069,15456447434.555552,1.673854392456808,s248_p610,,,,,False,False,False,False
1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,4,1,6,4,9,6,9,8,5,6,3,7,10,1,7,4,0.0,1692859070.629364,0.0,0.0,33100634264.373592,0.0,0.0,3135659904.199149,0.0,0.0,5131254649.341551,0.0,62063368.33848528,1163150028.6000986,0.0051403093754053,1140100000.0,62063368.33848528,44223557917.14376,0.0051403093754053,s541_p149,1.0,1.0,1.0,1.0,False,False,False,False
0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,3,0,8,8,3,3,1,0,4,4,1,8,3,2,2,9,0.0,7716698268.289246,0.0,0.0,593500007.3745933,0.0,2896016.282626001,301485833.08746815,0.0007574110589122,766380.1194679481,613448109.3248568,6.054762190484978e-05,204972292.87204048,2323480747.058557,0.0263087887326807,1261300000.0,208634689.27413443,11548612965.134722,0.0271267474134979,s632_p144,1.0103511708916582,1.0264270373602395,1.0103511708916582,1.0264270373602395,False,False,False,False
